,Unnamed: 0,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine color,pH rating,rank_wines,wine_rating
2053,454,6.4,0.28,0.29,1.6,0.052,34.0,127.0,0.9929,3.48,0.56,10.5,7,White,Low,5760.0,Good
2054,455,6.4,0.41,0.24,14.0,0.048,24.0,113.0,0.9982,3.44,0.53,9.8,6,White,Low,3802.5,Satisfactory
2055,456,6.3,0.23,0.31,1.5,0.022,11.0,82.0,0.9892,3.3,0.4,12.9,7,White,Medium,5760.0,Good
2056,457,7.1,0.21,0.27,8.6,0.056,26.0,111.0,0.9956,2.95,0.52,9.5,5,White,High,1315.5,Satisfactory
2057,458,6.0,0.37,0.32,1.0,0.053,31.0,218.5,0.9924,3.29,0.72,9.8,6,White,Medium,3802.5,Satisfactory
2058,459,6.1,0.43,0.35,9.1,0.059,83.0,249.0,0.9971,3.37,0.5,8.5,5,White,Low,1315.5,Satisfactory
2059,460,7.1,0.21,0.27,8.6,0.056,26.0,111.0,0.9956,2.95,0.52,9.5,5,White,High,1315.5,Satisfactory
2060,461,7.0,0.25,0.29,15.2,0.047,40.0,171.0,0.9982,3.22,0.45,9.3,5,White,Medium,1315.5,Satisfactory
2061,462,5.9,0.25,0.19,12.4,0.047,50.0,162.0,0.9973,3.35,0.38,9.5,5,White,Low,1315.5,Satisfactory
2062,463,6.8,0.32,0.21,2.2,0.044,15.0,68.0,0.9932,3.17,0.39,9.4,6,White,Moderate,3802.5,Satisfactory
2063,464,7.2,0.39,0.62,11.0,0.047,66.0,178.0,0.9976,3.16,0.5,8.7,5,White,Moderate,1315.5,Satisfactory
2064,465,6.3,0.21,0.58,10.0,0.081,34.0,126.0,0.9962,2.95,0.46,8.9,5,White,High,1315.5,Satisfactory
2065,466,7.0,0.14,0.32,9.0,0.039,54.0,141.0,0.9956,3.22,0.43,9.4,6,White,Medium,3802.5,Satisfactory
2066,467,6.8,0.32,0.21,2.2,0.044,15.0,68.0,0.9932,3.17,0.39,9.4,6,White,Moderate,3802.5,Satisfactory
2067,468,7.2,0.39,0.62,11.0,0.047,66.0,178.0,0.9976,3.16,0.5,8.7,5,White,Moderate,1315.5,Satisfactory
2068,469,7.2,0.29,0.53,18.15,0.047,59.0,182.0,0.9992,3.09,0.52,9.6,5,White,High,1315.5,Satisfactory
2069,470,8.6,0.37,0.7,12.15,0.039,21.0,158.0,0.9983,3.0,0.73,9.3,6,White,High,3802.5,Satisfactory
2070,471,6.5,0.38,0.34,3.4,0.036,34.0,200.0,0.9937,3.14,0.76,10.0,5,White,Moderate,1315.5,Satisfactory
2071,472,6.6,0.24,0.29,2.0,0.023,19.0,86.0,0.99,3.25,0.45,12.5,6,White,Medium,3802.5,Satisfactory
2072,473,7.0,0.17,0.31,4.8,0.034,34.0,132.0,0.9944,3.36,0.48,9.6,7,White,Low,5760.0,Good
2073,474,5.5,0.16,0.22,4.5,0.03,30.0,102.0,0.9938,3.24,0.36,9.4,6,White,Medium,3802.5,Satisfactory
2074,475,7.0,0.24,0.51,11.0,0.029,55.0,227.0,0.9965,3.03,0.61,9.5,5,White,High,1315.5,Satisfactory
2075,476,7.4,0.28,0.36,1.1,0.028,42.0,105.0,0.9893,2.99,0.39,12.4,7,White,High,5760.0,Good
2076,477,7.0,0.22,0.28,1.5,0.037,29.0,115.0,0.9927,3.11,0.55,10.5,6,White,High,3802.5,Satisfactory
2077,478,7.1,0.55,0.13,1.7,0.073,21.0,165.0,0.994,2.97,0.58,9.2,6,White,High,3802.5,Satisfactory
2078,479,6.3,0.22,0.33,1.7,0.041,67.0,164.0,0.9928,3.32,0.56,10.4,6,White,Medium,3802.5,Satisfactory
2079,480,6.7,0.47,0.34,8.9,0.043,31.0,172.0,0.9964,3.22,0.6,9.2,5,White,Medium,1315.5,Satisfactory
2080,481,5.9,0.36,0.41,1.3,0.047,45.0,104.0,0.9917,3.33,0.51,10.6,6,White,Low,3802.5,Satisfactory
2081,482,5.8,0.25,0.24,13.3,0.044,41.0,137.0,0.9972,3.34,0.42,9.5,5,White,Low,1315.5,Satisfactory
2082,483,6.7,0.47,0.34,8.9,0.043,31.0,172.0,0.9964,3.22,0.6,9.2,5,White,Medium,1315.5,Satisfactory
2083,484,6.2,0.37,0.3,6.6,0.346,79.0,200.0,0.9954,3.29,0.58,9.6,5,White,Medium,1315.5,Satisfactory
2084,485,6.2,0.18,0.38,1.5,0.028,36.0,117.0,0.993,3.47,0.54,9.7,6,White,Low,3802.5,Satisfactory
2085,486,6.0,0.16,0.37,1.5,0.025,43.0,117.0,0.9928,3.46,0.51,9.7,6,White,Low,3802.5,Satisfactory
2086,487,6.6,0.34,0.28,1.3,0.035,32.0,90.0,0.9916,3.1,0.42,10.7,6,White,High,3802.5,Satisfactory
2087,488,7.4,0.29,0.29,1.6,0.045,53.0,180.0,0.9936,3.34,0.68,10.5,6,White,Low,3802.5,Satisfactory
2088,489,7.4,0.26,0.31,7.6,0.047,52.0,177.0,0.9962,3.13,0.45,8.9,6,White,Moderate,3802.5,Satisfactory
2089,490,7.0,0.28,0.36,1.0,0.035,8.0,70.0,0.9899,3.09,0.46,12.1,6,White,High,3802.5,Satisfactory
2090,491,7.1,0.23,0.39,1.6,0.032,12.0,65.0,0.9898,3.25,0.4,12.7,7,White,Medium,5760.0,Good
2091,492,7.8,0.19,0.26,8.9,0.039,42.0,182.0,0.996,3.18,0.46,9.9,6,White,Moderate,3802.5,Satisfactory
2092,493,6.3,0.19,0.28,1.8,0.022,28.0,158.0,0.9907,3.2,0.64,11.4,6,White,Moderate,3802.5,Satisfactory
2093,494,6.8,0.2,0.38,4.7,0.04,27.0,103.0,0.994,3.37,0.58,10.7,6,White,Low,3802.5,Satisfactory
2094,495,5.7,0.44,0.13,7.0,0.025,28.0,173.0,0.9913,3.33,0.48,12.5,6,White,Low,3802.5,Satisfactory
2095,496,7.2,0.4,0.62,10.8,0.041,70.0,189.0,0.9976,3.08,0.49,8.6,4,White,High,138.5,Bad
2096,497,6.8,0.23,0.32,1.6,0.026,43.0,147.0,0.9904,3.29,0.54,12.5,6,White,Medium,3802.5,Satisfactory
2097,498,5.7,0.335,0.34,1.0,0.04,13.0,174.0,0.992,3.27,0.66,10.0,5,White,Medium,1315.5,Satisfactory
2098,499,7.2,0.4,0.62,10.8,0.041,70.0,189.0,0.9976,3.08,0.49,8.6,4,White,High,138.5,Bad
2099,500,7.2,0.28,0.54,16.7,0.045,54.0,200.0,0.999,3.08,0.49,9.5,6,White,High,3802.5,Satisfactory
2100,501,6.8,0.19,0.58,14.2,0.038,51.0,164.0,0.9975,3.12,0.48,9.6,6,White,Moderate,3802.5,Satisfactory
2101,502,6.4,0.3,0.3,2.25,0.038,8.0,210.0,0.9937,3.2,0.62,9.9,6,White,Moderate,3802.5,Satisfactory
2102,503,6.5,0.3,0.29,2.25,0.037,8.0,210.0,0.9937,3.19,0.62,9.9,5,White,Moderate,1315.5,Satisfactory
2103,504,7.8,0.18,0.31,12.2,0.053,46.0,140.0,0.998,3.06,0.53,8.9,6,White,High,3802.5,Satisfactory
2104,505,7.8,0.18,0.31,12.2,0.053,46.0,140.0,0.998,3.06,0.53,8.9,6,White,High,3802.5,Satisfactory
2105,506,7.3,0.51,0.26,3.3,0.09,7.0,135.0,0.9944,3.01,0.52,8.8,5,White,High,1315.5,Satisfactory
2106,507,6.0,0.24,0.27,1.9,0.048,40.0,170.0,0.9938,3.64,0.54,10.0,7,White,Low,5760.0,Good
2107,508,5.9,0.62,0.28,3.5,0.039,55.0,152.0,0.9907,3.44,0.44,12.0,6,White,Low,3802.5,Satisfactory
2108,509,6.0,0.24,0.27,1.9,0.048,40.0,170.0,0.9938,3.64,0.54,10.0,7,White,Low,5760.0,Good
2109,510,6.7,0.27,0.12,1.3,0.041,62.0,138.0,0.9921,3.21,0.42,10.0,6,White,Moderate,3802.5,Satisfactory
2110,511,7.8,0.34,0.35,1.8,0.042,8.0,167.0,0.9908,3.11,0.41,12.1,6,White,High,3802.5,Satisfactory
2111,512,7.3,0.26,0.36,5.2,0.04,31.0,141.0,0.9931,3.16,0.59,11.0,6,White,Moderate,3802.5,Satisfactory
2112,513,7.4,0.36,0.33,1.4,0.025,27.0,55.0,0.9915,3.21,0.33,11.2,6,White,Moderate,3802.5,Satisfactory
2113,514,7.8,0.28,0.32,9.0,0.036,34.0,115.0,0.9952,3.17,0.39,10.3,7,White,Moderate,5760.0,Good
2114,515,6.1,0.31,0.26,2.2,0.051,28.0,167.0,0.9926,3.37,0.47,10.4,6,White,Low,3802.5,Satisfactory
2115,516,6.8,0.18,0.37,1.6,0.055,47.0,154.0,0.9934,3.08,0.45,9.1,5,White,High,1315.5,Satisfactory
2116,517,7.4,0.15,0.42,1.7,0.045,49.0,154.0,0.992,3.0,0.6,10.4,6,White,High,3802.5,Satisfactory
2117,518,5.9,0.13,0.28,1.9,0.05,20.0,78.0,0.9918,3.43,0.64,10.8,6,White,Low,3802.5,Satisfactory
2118,519,7.2,0.34,0.34,12.6,0.048,7.0,41.0,0.9942,3.19,0.4,11.7,5,White,Moderate,1315.5,Satisfactory
2119,520,7.9,0.19,0.26,2.1,0.039,8.0,143.0,0.9942,3.05,0.74,9.8,5,White,High,1315.5,Satisfactory
2120,521,7.9,0.19,0.26,2.1,0.039,8.0,143.0,0.9942,3.05,0.74,9.8,5,White,High,1315.5,Satisfactory
2121,522,6.9,0.25,0.4,1.3,0.038,22.0,101.0,0.9901,3.03,0.39,11.4,6,White,High,3802.5,Satisfactory
2122,523,5.8,0.36,0.32,1.7,0.033,22.0,96.0,0.9898,3.03,0.38,11.2,6,White,High,3802.5,Satisfactory
2123,524,5.6,0.35,0.37,1.0,0.038,6.0,72.0,0.9902,3.37,0.34,11.4,5,White,Low,1315.5,Satisfactory
2124,525,5.9,0.32,0.39,3.3,0.114,24.0,140.0,0.9934,3.09,0.45,9.2,6,White,High,3802.5,Satisfactory
2125,526,7.2,0.31,0.46,5.0,0.04,3.0,29.0,0.9906,3.04,0.53,12.5,4,White,High,138.5,Bad
2126,527,6.1,0.28,0.22,1.8,0.034,32.0,116.0,0.9898,3.36,0.44,12.6,6,White,Low,3802.5,Satisfactory
2127,528,5.2,0.36,0.02,1.6,0.031,24.0,104.0,0.9896,3.44,0.35,12.2,6,White,Low,3802.5,Satisfactory
2128,529,5.6,0.19,0.47,4.5,0.03,19.0,112.0,0.9922,3.56,0.45,11.2,6,White,Low,3802.5,Satisfactory
2129,530,6.4,0.1,0.35,4.9,0.048,31.0,103.0,0.9947,3.43,0.79,9.7,6,White,Low,3802.5,Satisfactory
2130,531,6.4,0.18,0.48,4.0,0.186,64.0,150.0,0.9945,3.06,0.4,9.3,5,White,High,1315.5,Satisfactory
2131,532,7.4,0.25,0.36,13.2,0.067,53.0,178.0,0.9976,3.01,0.48,9.0,6,White,High,3802.5,Satisfactory
2132,533,7.4,0.25,0.36,13.2,0.067,53.0,178.0,0.9976,3.01,0.48,9.0,6,White,High,3802.5,Satisfactory
2133,534,7.4,0.25,0.36,13.2,0.067,53.0,178.0,0.9976,3.01,0.48,9.0,6,White,High,3802.5,Satisfactory
2134,535,7.9,0.345,0.51,15.3,0.047,54.0,171.0,0.9987,3.09,0.51,9.1,5,White,High,1315.5,Satisfactory
2135,536,7.9,0.345,0.51,15.3,0.047,54.0,171.0,0.9987,3.09,0.51,9.1,5,White,High,1315.5,Satisfactory
2136,537,7.4,0.25,0.36,13.2,0.067,53.0,178.0,0.9976,3.01,0.48,9.0,6,White,High,3802.5,Satisfactory
2137,538,6.1,0.24,0.3,1.5,0.045,22.0,61.0,0.992,3.31,0.54,10.4,5,White,Medium,1315.5,Satisfactory
2138,539,6.8,0.25,0.24,4.55,0.053,41.0,211.0,0.9955,3.37,0.67,9.5,6,White,Low,3802.5,Satisfactory
2139,540,6.7,0.31,0.31,9.9,0.04,10.0,175.0,0.9953,3.46,0.55,11.4,4,White,Low,138.5,Bad
2140,541,7.2,0.46,0.65,10.4,0.05,76.0,192.0,0.9976,3.16,0.42,8.7,5,White,Moderate,1315.5,Satisfactory
2141,542,5.5,0.35,0.35,1.1,0.045,14.0,167.0,0.992,3.34,0.68,9.9,6,White,Low,3802.5,Satisfactory
2142,543,6.7,0.24,0.41,8.7,0.036,29.0,148.0,0.9952,3.22,0.62,9.9,6,White,Medium,3802.5,Satisfactory
2143,544,6.8,0.28,0.17,13.9,0.047,49.0,162.0,0.9983,3.21,0.51,9.0,6,White,Moderate,3802.5,Satisfactory
2144,545,6.4,0.16,0.22,1.4,0.04,41.0,149.0,0.9933,3.49,0.58,10.0,6,White,Low,3802.5,Satisfactory
2145,546,6.3,0.26,0.24,7.2,0.039,38.0,172.0,0.9958,3.49,0.64,9.7,6,White,Low,3802.5,Satisfactory
2146,547,7.7,0.22,0.42,1.9,0.052,10.0,87.0,0.9922,3.3,0.49,11.8,6,White,Medium,3802.5,Satisfactory
2147,548,6.5,0.18,0.31,1.7,0.044,30.0,127.0,0.9928,3.49,0.5,10.2,7,White,Low,5760.0,Good
2148,549,7.2,0.46,0.65,10.4,0.05,76.0,192.0,0.9976,3.16,0.42,8.7,5,White,Moderate,1315.5,Satisfactory
2149,550,7.0,0.3,0.51,13.6,0.05,40.0,168.0,0.9976,3.07,0.52,9.6,7,White,High,5760.0,Good
2150,551,9.2,0.25,0.34,1.2,0.026,31.0,93.0,0.9916,2.93,0.37,11.3,7,White,High,5760.0,Good
2151,552,7.8,0.28,0.34,1.6,0.028,32.0,118.0,0.9901,3.0,0.38,12.1,7,White,High,5760.0,Good
2152,553,7.0,0.3,0.51,13.6,0.05,40.0,168.0,0.9976,3.07,0.52,9.6,7,White,High,5760.0,Good
2153,554,7.8,0.28,0.34,1.6,0.028,32.0,118.0,0.9901,3.0,0.38,12.1,7,White,High,5760.0,Good
2154,555,9.2,0.25,0.34,1.2,0.026,31.0,93.0,0.9916,2.93,0.37,11.3,7,White,High,5760.0,Good
2155,556,8.4,0.35,0.71,12.2,0.046,22.0,160.0,0.9982,2.98,0.65,9.4,5,White,High,1315.5,Satisfactory
2156,557,6.1,0.41,0.24,1.6,0.049,16.0,137.0,0.993,3.32,0.5,10.4,6,White,Medium,3802.5,Satisfactory
2157,558,5.9,0.21,0.24,12.1,0.044,53.0,165.0,0.9969,3.25,0.39,9.5,5,White,Medium,1315.5,Satisfactory
2158,559,7.2,0.34,0.44,4.2,0.047,51.0,144.0,0.991,3.01,0.76,12.3,6,White,High,3802.5,Satisfactory
2159,560,6.7,0.21,0.42,9.1,0.049,31.0,150.0,0.9953,3.12,0.74,9.9,7,White,Moderate,5760.0,Good
2160,561,5.9,0.37,0.1,1.6,0.057,39.0,128.0,0.9924,3.24,0.48,10.1,5,White,Medium,1315.5,Satisfactory
2161,562,7.7,0.34,0.27,8.8,0.063,39.0,184.0,0.9969,3.09,0.63,9.2,6,White,High,3802.5,Satisfactory
2162,563,7.4,0.3,0.22,1.4,0.046,16.0,135.0,0.9928,3.08,0.77,10.4,7,White,High,5760.0,Good
2163,564,6.8,0.51,0.3,4.2,0.066,38.0,165.0,0.9945,3.2,0.42,9.1,5,White,Moderate,1315.5,Satisfactory
2164,565,7.8,0.22,0.38,10.3,0.059,28.0,99.0,0.9967,3.12,0.47,10.0,6,White,Moderate,3802.5,Satisfactory
2165,566,7.2,0.35,0.34,12.4,0.051,6.0,37.0,0.9944,3.13,0.39,11.5,6,White,Moderate,3802.5,Satisfactory
2166,567,6.0,0.26,0.5,2.2,0.048,59.0,153.0,0.9928,3.08,0.61,9.8,5,White,High,1315.5,Satisfactory
2167,568,6.1,0.26,0.51,2.2,0.05,61.0,154.0,0.9929,3.08,0.6,9.8,6,White,High,3802.5,Satisfactory
2168,569,6.5,0.28,0.27,5.2,0.04,44.0,179.0,0.9948,3.19,0.69,9.4,6,White,Moderate,3802.5,Satisfactory
2169,570,7.4,0.41,0.66,10.8,0.051,77.0,194.0,0.9976,3.05,0.46,8.7,5,White,High,1315.5,Satisfactory
2170,571,6.5,0.28,0.29,2.7,0.038,26.0,107.0,0.9912,3.32,0.41,11.6,7,White,Medium,5760.0,Good
2171,572,6.7,0.34,0.54,16.3,0.047,44.0,181.0,0.9987,3.04,0.56,8.8,5,White,High,1315.5,Satisfactory
2172,573,7.2,0.2,0.34,2.7,0.032,49.0,151.0,0.99,3.16,0.39,12.7,7,White,Moderate,5760.0,Good
2173,574,7.4,0.2,0.33,1.9,0.035,39.0,138.0,0.991,3.17,0.44,11.7,7,White,Moderate,5760.0,Good
2174,575,8.2,0.22,0.3,1.8,0.047,47.0,185.0,0.9933,3.13,0.5,10.2,6,White,Moderate,3802.5,Satisfactory
2175,576,8.2,0.23,0.29,1.8,0.047,47.0,187.0,0.9933,3.13,0.5,10.2,6,White,Moderate,3802.5,Satisfactory
2176,577,7.1,0.22,0.33,2.8,0.033,48.0,153.0,0.9899,3.15,0.38,12.7,7,White,Moderate,5760.0,Good
2177,578,6.5,0.28,0.29,2.7,0.038,26.0,107.0,0.9912,3.32,0.41,11.6,7,White,Medium,5760.0,Good
2178,579,6.0,0.38,0.26,6.0,0.034,42.0,134.0,0.9912,3.38,0.38,12.3,7,White,Low,5760.0,Good
2179,580,7.4,0.41,0.66,10.8,0.051,77.0,194.0,0.9976,3.05,0.46,8.7,5,White,High,1315.5,Satisfactory
2180,581,5.7,0.18,0.22,4.2,0.042,25.0,111.0,0.994,3.35,0.39,9.4,5,White,Low,1315.5,Satisfactory
2181,582,7.3,0.3,0.22,6.4,0.056,44.0,168.0,0.9947,3.13,0.35,10.1,6,White,Moderate,3802.5,Satisfactory
2182,583,7.4,0.24,0.22,10.7,0.042,26.0,81.0,0.9954,2.86,0.36,9.7,6,White,High,3802.5,Satisfactory
2183,584,6.6,0.25,0.3,1.6,0.046,32.0,134.0,0.993,3.42,0.51,10.1,7,White,Low,5760.0,Good
2184,585,7.4,0.24,0.22,10.7,0.042,26.0,81.0,0.9954,2.86,0.36,9.7,6,White,High,3802.5,Satisfactory
2185,586,7.4,0.26,0.3,7.9,0.049,38.0,157.0,0.9963,3.13,0.48,8.9,6,White,Moderate,3802.5,Satisfactory
2186,587,6.1,0.32,0.25,1.7,0.034,37.0,136.0,0.992,3.47,0.5,10.8,7,White,Low,5760.0,Good
2187,588,6.9,0.28,0.27,2.1,0.036,42.0,121.0,0.9926,3.42,0.49,10.8,7,White,Low,5760.0,Good
2188,589,7.0,0.23,0.33,5.8,0.04,25.0,136.0,0.995,3.19,0.58,9.5,6,White,Moderate,3802.5,Satisfactory
2189,590,7.1,0.31,0.5,14.5,0.059,6.0,148.0,0.9983,2.94,0.44,9.1,5,White,High,1315.5,Satisfactory
2190,591,7.3,0.2,0.37,1.2,0.037,48.0,119.0,0.992,3.32,0.49,10.9,6,White,Medium,3802.5,Satisfactory
2191,592,6.9,0.41,0.33,10.1,0.043,28.0,152.0,0.9968,3.2,0.52,9.4,5,White,Moderate,1315.5,Satisfactory
2192,593,6.4,0.45,0.07,1.1,0.03,10.0,131.0,0.9905,2.97,0.28,10.8,5,White,High,1315.5,Satisfactory
2193,594,6.4,0.475,0.06,1.0,0.03,9.0,131.0,0.9904,2.97,0.29,10.8,5,White,High,1315.5,Satisfactory
2194,595,6.3,0.27,0.38,0.9,0.051,7.0,140.0,0.9926,3.45,0.5,10.5,7,White,Low,5760.0,Good
2195,596,6.9,0.41,0.33,10.1,0.043,28.0,152.0,0.9968,3.2,0.52,9.4,5,White,Moderate,1315.5,Satisfactory
2196,597,7.0,0.29,0.37,4.9,0.034,26.0,127.0,0.9928,3.17,0.44,10.8,6,White,Moderate,3802.5,Satisfactory
2197,598,5.9,0.27,0.29,11.4,0.036,31.0,115.0,0.9949,3.35,0.48,10.5,8,White,Low,6396.0,Best
2198,599,6.9,0.19,0.4,1.4,0.036,14.0,55.0,0.9909,3.08,0.68,11.5,7,White,High,5760.0,Good
2199,600,6.7,0.3,0.35,1.4,0.18,36.0,160.0,0.9937,3.11,0.54,9.4,6,White,High,3802.5,Satisfactory
2200,601,7.2,0.24,0.4,1.4,0.045,31.0,106.0,0.9914,2.88,0.38,10.8,6,White,High,3802.5,Satisfactory
2201,602,6.4,0.45,0.07,1.1,0.03,10.0,131.0,0.9905,2.97,0.28,10.8,5,White,High,1315.5,Satisfactory
2202,603,6.4,0.475,0.06,1.0,0.03,9.0,131.0,0.9904,2.97,0.29,10.8,5,White,High,1315.5,Satisfactory
2203,604,6.3,0.26,0.49,1.5,0.052,34.0,134.0,0.9924,2.99,0.61,9.8,6,White,High,3802.5,Satisfactory
2204,605,6.3,0.26,0.49,1.5,0.052,34.0,134.0,0.9924,2.99,0.61,9.8,6,White,High,3802.5,Satisfactory
2205,606,7.3,0.25,0.29,7.5,0.049,38.0,158.0,0.9965,3.43,0.38,9.6,5,White,Low,1315.5,Satisfactory
2206,607,7.3,0.25,0.29,7.5,0.049,38.0,158.0,0.9965,3.43,0.38,9.6,5,White,Low,1315.5,Satisfactory
2207,608,6.1,0.28,0.25,17.75,0.044,48.0,161.0,0.9993,3.34,0.48,9.5,5,White,Low,1315.5,Satisfactory
2208,609,7.4,0.37,0.35,5.7,0.061,12.0,94.0,0.9965,3.48,0.69,10.7,6,White,Low,3802.5,Satisfactory
2209,610,6.5,0.36,0.28,3.2,0.037,29.0,119.0,0.9908,3.25,0.65,12.4,8,White,Medium,6396.0,Best
2210,611,7.4,0.24,0.4,4.3,0.032,9.0,95.0,0.992,3.09,0.39,11.1,6,White,High,3802.5,Satisfactory
2211,612,7.5,0.23,0.68,11.0,0.047,37.0,133.0,0.9978,2.99,0.38,8.8,5,White,High,1315.5,Satisfactory
2212,613,7.5,0.21,0.68,10.9,0.045,38.0,133.0,0.9978,3.0,0.36,8.7,5,White,High,1315.5,Satisfactory
2213,614,7.5,0.21,0.68,10.9,0.045,38.0,133.0,0.9978,3.0,0.36,8.7,5,White,High,1315.5,Satisfactory
2214,615,7.5,0.23,0.68,11.0,0.047,37.0,133.0,0.9978,2.99,0.38,8.8,5,White,High,1315.5,Satisfactory
2215,616,7.8,0.32,0.33,2.4,0.037,18.0,101.0,0.9912,3.21,0.65,11.7,7,White,Moderate,5760.0,Good
2216,617,7.8,0.26,0.27,1.9,0.051,52.0,195.0,0.9928,3.23,0.5,10.9,6,White,Medium,3802.5,Satisfactory
2217,618,7.7,0.24,0.27,1.8,0.051,52.0,190.0,0.9928,3.23,0.5,10.8,6,White,Medium,3802.5,Satisfactory
2218,619,7.4,0.19,0.3,1.4,0.057,33.0,135.0,0.993,3.12,0.5,9.6,6,White,Moderate,3802.5,Satisfactory
2219,620,6.5,0.46,0.41,16.8,0.084,59.0,222.0,0.9993,3.18,0.58,9.0,5,White,Moderate,1315.5,Satisfactory
2220,621,6.5,0.26,0.43,8.9,0.083,50.0,171.0,0.9965,2.85,0.5,9.0,5,White,High,1315.5,Satisfactory
2221,622,5.3,0.32,0.12,6.6,0.043,22.0,141.0,0.9937,3.36,0.6,10.4,6,White,Low,3802.5,Satisfactory
2222,623,7.2,0.24,0.34,1.1,0.045,3.0,64.0,0.9913,3.23,0.51,11.4,5,White,Medium,1315.5,Satisfactory
2223,624,6.0,0.36,0.06,1.4,0.066,27.0,128.0,0.9934,3.26,0.55,9.3,5,White,Medium,1315.5,Satisfactory
2224,625,6.2,0.24,0.29,13.3,0.039,49.0,130.0,0.9952,3.33,0.46,11.0,8,White,Low,6396.0,Best
2225,626,7.6,0.56,0.12,10.4,0.096,22.0,177.0,0.9983,3.32,0.45,9.1,4,White,Medium,138.5,Bad
2226,627,7.0,0.32,0.24,6.2,0.048,31.0,228.0,0.9957,3.23,0.62,9.4,6,White,Medium,3802.5,Satisfactory
2227,628,7.0,0.32,0.24,6.2,0.048,31.0,228.0,0.9957,3.23,0.62,9.4,6,White,Medium,3802.5,Satisfactory
2228,629,5.8,0.31,0.33,1.2,0.036,23.0,99.0,0.9916,3.18,0.6,10.5,6,White,Moderate,3802.5,Satisfactory
2229,630,7.0,0.23,0.42,18.05,0.05,35.0,144.0,0.9999,3.22,0.42,8.8,5,White,Medium,1315.5,Satisfactory
2230,631,7.0,0.23,0.42,18.05,0.05,35.0,144.0,0.9999,3.22,0.42,8.8,5,White,Medium,1315.5,Satisfactory
2231,632,6.9,0.24,0.33,4.8,0.04,16.0,131.0,0.9936,3.26,0.64,10.7,6,White,Medium,3802.5,Satisfactory
2232,633,6.0,0.29,0.2,12.6,0.045,45.0,187.0,0.9972,3.33,0.42,9.5,5,White,Low,1315.5,Satisfactory
2233,634,6.1,0.17,0.28,4.5,0.033,46.0,150.0,0.9933,3.43,0.49,10.9,6,White,Low,3802.5,Satisfactory
2234,635,5.9,0.14,0.25,4.5,0.027,34.0,140.0,0.9934,3.49,0.51,10.8,6,White,Low,3802.5,Satisfactory
2235,636,6.2,0.17,0.28,4.7,0.037,39.0,133.0,0.9931,3.41,0.46,10.8,7,White,Low,5760.0,Good
2236,637,7.4,0.28,0.25,11.9,0.053,25.0,148.0,0.9976,3.1,0.62,9.2,5,White,High,1315.5,Satisfactory
2237,638,5.6,0.35,0.14,5.0,0.046,48.0,198.0,0.9937,3.3,0.71,10.3,5,White,Medium,1315.5,Satisfactory
2238,639,5.8,0.335,0.14,5.8,0.046,49.0,197.0,0.9937,3.3,0.71,10.3,5,White,Medium,1315.5,Satisfactory
2239,640,5.6,0.235,0.29,1.2,0.047,33.0,127.0,0.991,3.34,0.5,11.0,7,White,Low,5760.0,Good
2240,641,6.1,0.28,0.25,12.9,0.054,34.0,189.0,0.9979,3.25,0.43,9.0,4,White,Medium,138.5,Bad
2241,642,6.3,0.21,0.33,13.9,0.046,68.0,179.0,0.9971,3.36,0.5,10.4,6,White,Low,3802.5,Satisfactory
2242,643,6.4,0.24,0.28,11.5,0.05,34.0,163.0,0.9969,3.31,0.45,9.5,5,White,Medium,1315.5,Satisfactory
2243,644,6.4,0.24,0.29,11.4,0.051,32.0,166.0,0.9968,3.31,0.45,9.5,5,White,Medium,1315.5,Satisfactory
2244,645,6.3,0.26,0.25,7.8,0.058,44.0,166.0,0.9961,3.24,0.41,9.0,5,White,Medium,1315.5,Satisfactory
2245,646,6.5,0.33,0.72,1.1,0.061,7.0,151.0,0.993,3.09,0.57,9.5,4,White,High,138.5,Bad
2246,647,7.4,0.105,0.34,12.2,0.05,57.0,146.0,0.9973,3.16,0.37,9.0,6,White,Moderate,3802.5,Satisfactory
2247,648,6.0,0.32,0.12,5.9,0.041,34.0,190.0,0.9944,3.16,0.72,10.0,5,White,Moderate,1315.5,Satisfactory
2248,649,7.1,0.26,0.34,14.4,0.067,35.0,189.0,0.9986,3.07,0.53,9.1,7,White,High,5760.0,Good
2249,650,7.1,0.26,0.34,14.4,0.067,35.0,189.0,0.9986,3.07,0.53,9.1,7,White,High,5760.0,Good
2250,651,7.1,0.26,0.34,14.4,0.067,35.0,189.0,0.9986,3.07,0.53,9.1,7,White,High,5760.0,Good
2251,652,7.1,0.26,0.34,14.4,0.067,35.0,189.0,0.9986,3.07,0.53,9.1,7,White,High,5760.0,Good
2252,653,5.9,0.24,0.26,12.3,0.053,34.0,134.0,0.9972,3.34,0.45,9.5,6,White,Low,3802.5,Satisfactory
2253,654,6.5,0.21,0.37,2.5,0.048,70.0,138.0,0.9917,3.33,0.75,11.4,7,White,Low,5760.0,Good
2254,655,7.7,0.27,0.35,5.3,0.03,30.0,117.0,0.992,3.11,0.42,12.2,6,White,High,3802.5,Satisfactory
2255,656,9.0,0.27,0.35,4.9,0.028,27.0,95.0,0.9932,3.04,0.4,11.3,6,White,High,3802.5,Satisfactory
